source,target,source_area,target_area,naive_potential,weighted_potential,n_candidates
Probability,RepresentationTheory,Mathlib.Probability,Mathlib.RepresentationTheory,218.8,92.4,25
Probability,Condensed,Mathlib.Probability,Mathlib.Condensed,208.4,92.4,24
Probability,Dynamics,Mathlib.Probability,Mathlib.Dynamics,204.1,89.9,23
Probability,InformationTheory,Mathlib.Probability,Mathlib.InformationTheory,190.3,87.4,23
Probability,SetTheory,Mathlib.Probability,Mathlib.SetTheory,208.9,84.5,21
Probability,ModelTheory,Mathlib.Probability,Mathlib.ModelTheory,204.1,78.9,22
Probability,FieldTheory,Mathlib.Probability,Mathlib.FieldTheory,206.9,77.9,22
Probability,Computability,Mathlib.Probability,Mathlib.Computability,170.2,67.8,19
Probability,AlgebraicTopology,Mathlib.Probability,Mathlib.AlgebraicTopology,187.1,67.6,20
Probability,GroupTheory,Mathlib.Probability,Mathlib.GroupTheory,171.4,57.2,16
AlgebraicGeometry,Computability,Mathlib.AlgebraicGeometry,Mathlib.Computability,166.4,56.0,30
AlgebraicGeometry,Dynamics,Mathlib.AlgebraicGeometry,Mathlib.Dynamics,161.5,54.8,30
Probability,CategoryTheory,Mathlib.Probability,Mathlib.CategoryTheory,165.9,54.6,17
RepresentationTheory,InformationTheory,Mathlib.RepresentationTheory,Mathlib.InformationTheory,133.3,54.3,18
Probability,LinearAlgebra,Mathlib.Probability,Mathlib.LinearAlgebra,161.6,54.1,15
AlgebraicGeometry,Condensed,Mathlib.AlgebraicGeometry,Mathlib.Condensed,175.2,52.6,33
AlgebraicGeometry,InformationTheory,Mathlib.AlgebraicGeometry,Mathlib.InformationTheory,175.2,52.6,33
AlgebraicGeometry,ModelTheory,Mathlib.AlgebraicGeometry,Mathlib.ModelTheory,170.2,51.4,26
MeasureTheory,Dynamics,Mathlib.MeasureTheory,Mathlib.Dynamics,147.2,49.6,11
MeasureTheory,GroupTheory,Mathlib.MeasureTheory,Mathlib.GroupTheory,147.2,49.6,11
MeasureTheory,RepresentationTheory,Mathlib.MeasureTheory,Mathlib.RepresentationTheory,147.2,49.6,11
MeasureTheory,AlgebraicTopology,Mathlib.MeasureTheory,Mathlib.AlgebraicTopology,147.2,49.6,11
MeasureTheory,ModelTheory,Mathlib.MeasureTheory,Mathlib.ModelTheory,147.2,49.6,11
MeasureTheory,Condensed,Mathlib.MeasureTheory,Mathlib.Condensed,147.2,49.6,11
MeasureTheory,Data,Mathlib.MeasureTheory,Mathlib.Data,147.2,49.6,11
MeasureTheory,FieldTheory,Mathlib.MeasureTheory,Mathlib.FieldTheory,147.2,49.6,11
RepresentationTheory,SetTheory,Mathlib.RepresentationTheory,Mathlib.SetTheory,106.3,47.5,12
