source,Algebra,AlgebraicGeometry,AlgebraicTopology,Analysis,CategoryTheory,Combinatorics,Computability,Condensed,Data,Dynamics,FieldTheory,Geometry,GroupTheory,InformationTheory,LinearAlgebra,MeasureTheory,ModelTheory,NumberTheory,Order,Probability,RepresentationTheory,RingTheory,SetTheory,Topology
Algebra,,32.8,32.8,23.0,42.2,32.8,32.8,48.7,24.7,48.7,48.7,48.7,48.7,48.7,23.0,45.9,48.7,23.0,23.0,32.8,48.7,6.6,48.7,10.9
AlgebraicGeometry,74.0,,152.3,86.3,119.0,134.5,166.4,175.2,118.6,161.5,121.8,99.1,142.4,175.2,120.6,142.4,170.2,97.9,139.6,150.0,167.2,55.9,150.8,118.2
AlgebraicTopology,33.7,69.7,,7.3,30.5,60.8,103.3,140.6,38.2,149.0,81.8,41.8,90.2,137.4,31.2,84.0,116.3,42.1,57.9,96.1,78.9,30.8,106.6,32.9
Analysis,79.1,119.6,119.6,,124.9,74.2,113.5,129.4,118.1,129.4,116.0,80.3,106.2,129.4,118.3,83.7,129.4,59.5,113.5,98.7,129.4,73.7,129.4,27.6
Combinatorics,49.2,92.0,75.9,43.0,95.0,,88.9,126.9,45.4,116.4,97.9,96.5,71.6,126.9,82.0,83.2,115.0,80.5,67.5,91.8,126.9,81.7,103.9,71.8
Computability,47.3,134.7,137.6,59.2,130.1,90.5,,165.2,58.1,142.9,133.8,115.8,98.0,151.7,111.1,89.3,142.8,77.4,118.1,127.0,153.8,73.3,143.4,59.9
Condensed,7.8,25.6,42.9,12.5,7.8,19.9,64.2,,23.4,63.8,19.9,46.5,19.9,101.2,7.8,20.5,55.3,28.1,19.9,43.9,71.3,7.8,54.9,0.0
Control,36.0,68.1,78.7,45.6,44.9,29.3,26.8,107.9,9.8,103.9,65.3,69.1,54.4,111.8,65.5,55.8,74.1,47.9,45.7,80.3,82.9,48.2,70.8,35.4
Data,55.2,120.5,137.8,77.6,96.4,64.9,85.6,165.4,,144.8,90.4,118.2,91.5,165.4,84.0,74.6,129.4,93.2,74.6,118.6,144.8,49.8,93.2,87.0
Dynamics,28.1,61.7,73.6,4.9,74.7,47.2,81.5,88.7,51.0,,55.1,68.2,60.4,86.6,55.9,21.4,82.6,35.2,41.7,60.1,90.4,13.6,60.2,26.3
FieldTheory,40.8,80.6,120.5,41.4,103.9,81.8,92.2,163.3,77.8,137.5,,77.1,74.8,140.5,48.5,75.3,110.3,46.3,97.5,110.3,118.5,24.2,99.6,61.5
Geometry,58.9,85.8,83.4,11.5,93.1,83.7,91.5,116.7,63.6,91.5,85.8,,81.9,116.7,47.7,66.1,101.1,45.4,74.6,83.5,113.0,64.6,87.4,55.1
GroupTheory,32.9,79.5,91.1,60.9,77.2,63.7,86.7,91.1,53.8,91.1,87.6,67.0,,91.1,68.9,80.8,88.9,65.7,85.2,83.8,91.1,36.2,84.9,61.1
InformationTheory,19.1,22.6,46.2,0.0,37.7,22.9,35.6,60.5,40.6,54.2,48.0,2.8,35.7,,41.0,19.1,55.7,0.0,64.9,14.9,67.9,22.9,52.2,20.1
LinearAlgebra,20.1,90.1,106.7,53.5,90.1,79.8,96.4,106.7,25.4,106.7,78.2,61.8,57.5,106.7,,68.3,106.7,60.5,101.9,85.3,106.7,30.9,106.7,54.6
Logic,8.0,56.7,58.4,16.6,22.2,32.7,61.3,112.8,9.7,106.3,45.9,65.5,13.8,101.5,36.5,25.9,64.8,18.7,23.0,59.8,82.7,21.4,46.1,29.2
MeasureTheory,102.3,137.1,147.2,6.8,118.8,88.3,69.5,147.2,147.2,147.2,147.2,51.3,147.2,124.8,109.8,,147.2,75.7,63.9,27.4,147.2,67.6,137.1,66.2
ModelTheory,25.2,52.4,75.8,24.5,51.9,31.8,64.0,81.6,28.8,81.6,55.1,52.5,57.1,81.6,34.6,29.4,,41.2,60.5,60.9,81.6,20.1,64.0,29.4
NumberTheory,76.1,127.7,144.4,33.2,168.6,112.0,134.7,188.8,85.4,188.8,147.4,121.2,122.7,172.8,98.8,69.9,182.9,,177.2,110.4,188.8,48.3,175.5,92.4
Order,29.5,84.4,84.0,34.0,89.6,60.4,80.8,94.2,40.6,94.2,67.3,67.3,59.9,94.2,58.4,58.6,89.9,60.2,,75.8,94.2,48.1,84.4,38.8
Probability,70.5,131.9,187.1,3.2,165.9,115.6,170.2,208.4,144.1,204.1,206.9,128.9,171.4,190.3,161.6,31.2,204.1,85.8,136.8,,218.8,101.0,208.9,72.1
RepresentationTheory,16.6,36.5,58.5,9.1,25.8,27.1,77.2,129.3,42.9,105.1,49.0,24.0,39.7,133.3,16.3,19.6,99.8,27.8,31.1,78.7,,5.8,106.3,29.8
RingTheory,17.7,54.8,78.0,12.0,46.4,49.1,78.0,92.7,22.1,92.7,59.6,31.7,38.5,92.7,39.7,56.2,78.0,25.0,70.0,70.4,92.7,,69.6,27.4
SetTheory,35.5,82.0,116.7,37.6,125.0,71.7,100.9,149.3,16.8,113.3,99.8,81.6,81.7,128.1,80.6,78.3,131.5,79.5,65.5,107.7,159.6,55.9,,46.0
Tactic,9.8,62.2,51.5,32.3,44.5,24.5,66.3,85.4,29.4,73.0,53.9,36.6,62.7,82.5,48.9,40.7,74.0,42.1,55.7,63.4,74.0,27.4,69.3,32.2
Topology,52.3,104.3,144.9,27.3,83.1,96.1,138.8,146.1,72.4,146.1,104.3,92.5,110.3,146.1,91.6,75.0,104.3,102.1,86.7,113.6,146.1,81.6,132.0,
